# y jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z VReGrad_x VReGrad_y VReGrad_z VImGrad_x VImGrad_y VImGrad_z s VRe VIm sigma mur
-0.075 -514355.19 	-25322.361 	-16910.538 	 -2156394.4 	-110983.02 	-158496.06 	 -0.0044918832 	0.0027784569 	0.041500899 	 0.00013688913 	-0.00041868278 	0.0049922388 	 -811.92619 	16087.702 	-317.13372 	 -0.47634348 	-0.63275378 	0.0060486089 	 -1.5381253 	-3.2485116 	0.13086604 		-0.075 -0.00074502177 -0.0028083449 1200000 1
-0.07375 -559949.57 	-149395.61 	-17645.737 	 -1870610.7 	-322132.84 	-136447.74 	 -0.0044815211 	0.0026647398 	0.041138092 	 0.00028380534 	-0.00045194782 	0.0034839401 	 -3606.2883 	14827.662 	-611.04344 	 -0.47943432 	-0.59059034 	0.00573655 	 -1.6416208 	-3.0542177 	0.11253515 		-0.07375 -0.0015238064 -0.0068137272 1200000 1
-0.0725 -581112.64 	-295867.78 	-14995.881 	 -1571844.9 	-606411.7 	-101756.37 	 -0.004473753 	0.0025193069 	0.040500711 	 0.00044198597 	-0.00049428175 	0.0017984419 	 -6389.279 	13290.765 	-861.3882 	 -0.48402864 	-0.5343441 	0.0038873917 	 -1.7642907 	-2.7946309 	0.08350043 		-0.0725 -0.002225494 -0.010468849 1200000 1
-0.07125 -589818.78 	-442012.66 	-12668.43 	 -1324175.4 	-877484.44 	-74416.382 	 -0.0044599846 	0.0023731198 	0.039701268 	 0.00061131666 	-0.00051176471 	-8.6353301e-05 	 -8608.7087 	11691.096 	-1068.5983 	 -0.48793699 	-0.481126 	0.0029189411 	 -1.8508607 	-2.542414 	0.060488654 		-0.07125 -0.002862716 -0.013812112 1200000 1
-0.07 -586920.73 	-585968.43 	-9992.8895 	 -1122482.2 	-1128395.8 	-51284.548 	 -0.0044516376 	0.0022386016 	0.038980565 	 0.00074390243 	-0.00051400859 	-0.0015541306 	 -10519.913 	10520.697 	-1250.2925 	 -0.49086183 	-0.43081182 	0.0021581171 	 -1.9066112 	-2.3047937 	0.040882191 		-0.07 -0.0034388184 -0.01686759 1200000 1
-0.06875 -576200.46 	-727398.33 	-7408.0137 	 -962851.57 	-1348734.6 	-33297.177 	 -0.0044433339 	0.0021151207 	0.038388331 	 0.00084141567 	-0.00051420319 	-0.0025460852 	 -12265.621 	9781.6815 	-1412.3928 	 -0.4916644 	-0.38329562 	0.0017276766 	 -1.9350867 	-2.0892694 	0.025482206 		-0.06875 -0.0039431724 -0.019593886 1200000 1
-0.0675 -558412.61 	-863172.43 	-4962.56 	 -825879.88 	-1539051.7 	-19296.886 	 -0.0044396025 	0.0020040324 	0.037822892 	 0.00091071917 	-0.00050258761 	-0.0033236943 	 -13790.983 	9129.6279 	-1568.4985 	 -0.49091775 	-0.33859129 	0.0015443634 	 -1.9518658 	-1.8974712 	0.013342203 		-0.0675 -0.00438822 -0.022052969 1200000 1
-0.06625 -536897.49 	-994284.84 	-2698.6775 	 -708317.18 	-1708959.7 	-7939.8102 	 -0.0044372063 	0.0018995265 	0.037299019 	 0.00096681745 	-0.00048859863 	-0.0039336025 	 -15226.973 	8553.0062 	-1718.6179 	 -0.48846914 	-0.29594695 	0.0015211383 	 -1.9583524 	-1.7217333 	0.0033677668 		-0.06625 -0.0047843165 -0.024308085 1200000 1
-0.065 -512598.63 	-1120211.1 	-667.93189 	 -607641.9 	-1859797.6 	962.50971 	 -0.0044353504 	0.0018006682 	0.036818437 	 0.0010132649 	-0.00047363342 	-0.0043962983 	 -16605.172 	8026.2011 	-1862.4745 	 -0.48430931 	-0.25530899 	0.0016567361 	 -1.9564222 	-1.5613454 	-0.0045895585 		-0.065 -0.0051332164 -0.026372695 1200000 1
-0.06375 -487450.49 	-1239401.4 	1069.1989 	 -526186.51 	-1992121.2 	7690.9271 	 -0.0044385236 	0.0017122002 	0.036415158 	 0.0010415763 	-0.00045223355 	-0.0046941516 	 -18021.776 	7545.7173 	-2017.9943 	 -0.47781301 	-0.21679087 	0.0019371205 	 -1.9449362 	-1.4172157 	-0.0107517 		-0.06375 -0.0054269729 -0.02822823 1200000 1
