# x jRe_x jRe_y jRe_z jIm_x jIm_y jIm_z BRe_x BRe_y BRe_z BIm_x BIm_y BIm_z F_x F_y F_z VReGrad_x VReGrad_y VReGrad_z VImGrad_x VImGrad_y VImGrad_z s VRe VIm sigma mur
-0.035 -477861.99 	967688.06 	343720.67 	 -2960409.6 	4155520.1 	883067.75 	 0.0050171351 	0.0011529372 	0.05109322 	 -0.00077546155 	-0.0015523321 	0.0021159372 	 29675.886 	15807.164 	1220.3082 	 -6.6208944 	5.4535088 	0.0031212697 	 -17.693344 	26.279362 	-1.0389982 		-0.035 0.10163654 0.055373043 1200000 1
-0.03375 -1918671.4 	1677279.6 	407631.52 	 -3427001.4 	2963013.1 	711871.09 	 0.0045529093 	0.0010324739 	0.0497104 	 -0.0011162933 	-0.0014596369 	-0.0011279182 	 39742.391 	45916.937 	-275.49136 	 -6.1923001 	5.0793263 	0.0080060704 	 -15.678205 	24.175684 	-0.96472817 		-0.03375 0.092649078 0.032204821 1200000 1
-0.0325 -3772557 	1509294.9 	497456.3 	 -5555357.9 	1657122.7 	729857.13 	 0.0041364963 	0.00098556081 	0.047735934 	 -0.0011055705 	-0.0013599998 	-0.0045043163 	 30725.596 	80946.175 	2.533199 	 -5.3818595 	4.9578436 	-0.026407146 	 -12.451642 	23.06763 	-1.0395691 		-0.0325 0.08546342 0.015180314 1200000 1
-0.03125 -5391867.4 	1263801.8 	555374.47 	 -6716725 	890124.39 	714734.65 	 0.0037801774 	0.00093308818 	0.045860043 	 -0.0010542605 	-0.001321601 	-0.0060791574 	 24886.976 	108319.48 	175.81158 	 -4.6639472 	4.7329539 	-0.051126311 	 -9.9968288 	21.811498 	-1.0775263 		-0.03125 0.079259235 0.001578442 1200000 1
-0.03 -6703687.4 	985405.82 	586819.73 	 -7262602.3 	408184.86 	679435.55 	 0.0034809378 	0.00090199313 	0.044478969 	 -0.00098275572 	-0.0012939547 	-0.0068912663 	 19527.103 	130259.53 	216.06078 	 -4.0653732 	4.4543396 	-0.066995725 	 -8.080449 	20.597216 	-1.0886823 		-0.03 0.073894685 -0.0093679548 1200000 1
-0.02875 -7699727.7 	722326.4 	597271.59 	 -7418818.6 	115183.96 	634036.6 	 0.0032196216 	0.00088412132 	0.043645908 	 -0.00090802998 	-0.0012749309 	-0.007183237 	 14875.939 	148121.67 	203.247 	 -3.5966039 	4.1456449 	-0.075763218 	 -6.5631423 	19.446121 	-1.0808936 		-0.02875 0.069199638 -0.018231537 1200000 1
-0.0275 -8428206.2 	515438.12 	592165.46 	 -7364620.2 	-28014.383 	585053.16 	 0.0029878276 	0.00087789548 	0.04318531 	 -0.00083421216 	-0.0012643437 	-0.0071230701 	 11076.564 	162746.29 	110.91441 	 -3.2405789 	3.8184735 	-0.079276416 	 -5.323197 	18.341261 	-1.0598723 		-0.0275 0.065009471 -0.025428502 1200000 1
-0.02625 -8945291.3 	349710.12 	575768.7 	 -7219204.5 	-94093.091 	536203.83 	 0.0027774643 	0.00087961065 	0.043034289 	 -0.0007658247 	-0.0012575009 	-0.0069776021 	 7940.0421 	174331.23 	-3.0912095 	 -2.973755 	3.5002854 	-0.07898768 	 -4.2726403 	17.300208 	-1.0294776 		-0.02625 0.061200358 -0.031227287 1200000 1
-0.025 -9301739.5 	228742.13 	551704.39 	 -7044903.4 	-113245.33 	489551.75 	 0.002582341 	0.00088587049 	0.043063418 	 -0.00070387549 	-0.0012572655 	-0.0067702695 	 5536.9776 	183456.2 	-132.23423 	 -2.7780998 	3.198675 	-0.076143745 	 -3.3619464 	16.312187 	-0.99239458 		-0.025 0.057669601 -0.035825084 1200000 1
-0.02375 -9541324.6 	141981.1 	522695.49 	 -6877561.8 	-105167.07 	446123.18 	 0.0024001773 	0.00089582184 	0.043236816 	 -0.00064770486 	-0.0012589135 	-0.0066066515 	 3703.738 	190509.17 	-258.63296 	 -2.635548 	2.919245 	-0.071665581 	 -2.5563475 	15.36796 	-0.95063111 		-0.02375 0.054340464 -0.0393678 1200000 1
-0.0225 -9699231.3 	81922.624 	490838.8 	 -6733613.4 	-88425.668 	406190.62 	 0.0022270034 	0.00090565541 	0.043467971 	 -0.0005969466 	-0.0012654115 	-0.006462115 	 2386.6475 	195936.46 	-365.25149 	 -2.5328365 	2.6654421 	-0.066255364 	 -1.8346099 	14.460985 	-0.90550269 		-0.0225 0.051156798 -0.041967018 1200000 1
-0.02125 -9801660.8 	43993.938 	457632.65 	 -6618249 	-65223.79 	369742.27 	 0.0020628063 	0.00091681693 	0.043745024 	 -0.00055030834 	-0.0012721434 	-0.0063803003 	 1471.3318 	200106.79 	-460.60865 	 -2.4587322 	2.4332987 	-0.060421435 	 -1.1825027 	13.580131 	-0.85808944 		-0.02125 0.048075775 -0.043716747 1200000 1
-0.02 -9868746 	19090.313 	424110.39 	 -6531450.5 	-45450.821 	336444.25 	 0.0019052133 	0.00092565873 	0.044017989 	 -0.00050721034 	-0.0012819166 	-0.0063244598 	 850.57666 	203328.45 	-526.87465 	 -2.4050348 	2.2240998 	-0.054494689 	 -0.59041171 	12.721894 	-0.80904815 		-0.02 0.045069753 -0.044694025 1200000 1
-0.01875 -9913499.5 	6452.8582 	390968.68 	 -6469224.9 	-26446.229 	305990.36 	 0.0017547174 	0.00093498587 	0.044288911 	 -0.00046674013 	-0.0012906742 	-0.0063156935 	 472.63768 	205853.38 	-584.11929 	 -2.3656584 	2.0314238 	-0.048715501 	 -0.052001313 	11.878632 	-0.75897929 		-0.01875 0.042116527 -0.044969641 1200000 1
-0.0175 -9945756.9 	-1299.9865 	358622.5 	 -6427325.7 	-13012.865 	277935.42 	 0.0016098865 	0.0009413421 	0.044532337 	 -0.00042851315 	-0.0013010734 	-0.0063207944 	 230.51661 	207869.72 	-615.76414 	 -2.3361104 	1.8556605 	-0.043214514 	 0.43757653 	11.04883 	-0.7082114 		-0.0175 0.039203664 -0.044605451 1200000 1
-0.01625 -9970695.9 	-3112.6781 	327325.75 	 -6400706.5 	-1807.8312 	251961.54 	 0.0014710393 	0.00094811007 	0.044756208 	 -0.00039196689 	-0.001309713 	-0.0063527609 	 116.77491 	209518.07 	-644.14962 	 -2.3134876 	1.6910246 	-0.038088364 	 0.88170357 	10.228021 	-0.65708209 		-0.01625 0.036320079 -0.04366059 1200000 1
