0.02 -0.0106654716347 	0.000231592434866 	0.0423026461102 	 -0.0133268987665 	0.00018120631593 	0.00723583308559 	 1844.16119603 	-1898293.02931 	-1202.132195 	 9190.44832432 	-4704394.50995 	-8255.65637656 	 -57260.0515547 	-16.0833625241 	-41419.8273374 	
0.01875 -0.0100815638541 	0.00025826687721 	0.041450978518 	 -0.0113201855122 	0.000117074452329 	0.00576502942073 	 -321.776110681 	-2011678.23533 	-5000.53136716 	 -4792.61113919 	-4432701.11557 	-58103.1307676 	 -54701.4108135 	342.028714877 	-35173.0445808 	
0.0175 -0.00925796603978 	0.000311830965368 	0.042178796102 	 -0.00868757412407 	7.11665783462e-05 	0.00671414574432 	 -967.360781707 	-2102508.22814 	-5225.75799706 	 -5748.07022761 	-4347076.1265 	-60165.8066612 	 -59195.3680259 	344.779584123 	-28615.4049137 	
0.01625 -0.00899396753399 	0.000358968090933 	0.0426405052082 	 -0.00669178600298 	5.67437793678e-05 	0.00731887293726 	 -1217.73809359 	-2174825.57003 	-1040.34944035 	 -3688.28954432 	-4259500.23121 	-11139.8104841 	 -62231.3857381 	90.594416735 	-24013.2164557 	
0.015 -0.00835524886148 	0.000414389498951 	0.0428932662841 	 -0.00485987800751 	3.92674344552e-05 	0.00768446233966 	 -1409.36207732 	-2229517.49502 	1911.33681637 	 -3152.85206952 	-4176281.35601 	14219.0151901 	 -64150.2263294 	0.0828690240784 	-19461.7924902 	
0.01375 -0.00772376745823 	0.00046800204657 	0.0429530119955 	 -0.00322205903212 	1.93439033119e-05 	0.00788247108005 	 -1467.21590044 	-2267736.33586 	3842.74994843 	 -2634.90382197 	-4098548.00758 	23597.2288383 	 -65147.5994242 	-14.1341612068 	-15361.7119306 	
0.0125 -0.00709525389579 	0.000519529594935 	0.0428410482659 	 -0.0017241730644 	-3.8465853405e-06 	0.00796059808472 	 -1413.48212053 	-2291085.29594 	5294.29158765 	 -1918.4723064 	-4026559.1657 	26811.3206395 	 -65395.9586638 	-8.06196237397 	-11606.4586719 	
0.01125 -0.00645991265328 	0.000569673808566 	0.0425746023402 	 -0.000328168114406 	-2.86316721146e-05 	0.00795145439459 	 -1275.74090945 	-2300625.93324 	6481.6791516 	 -1170.62835919 	-3960614.31885 	27975.9739177 	 -65011.1566713 	2.23767778679 	-8090.94455578 	
0.01 -0.00580799997633 	0.000618760373755 	0.042161034541 	 0.00100083841353 	-5.37121089124e-05 	0.00787005695394 	 -1073.30735541 	-2297132.42777 	7438.95741675 	 -516.252314898 	-3900994.06947 	28262.3040063 	 -64062.3305026 	13.4869442581 	-4732.02010905 	
0.00875 -0.00513596190759 	0.000667154795251 	0.0416074301665 	 0.00229239583535 	-7.77715552241e-05 	0.00772561288539 	 -815.686982075 	-2281080.84857 	8139.7090236 	 23.4424782065 	-3847936.61906 	27832.0028165 	 -62600.5931947 	24.6378063278 	-1463.75686986 	
0.0075 -0.00444117353214 	0.000715291266779 	0.0409163102145 	 0.00357540902691 	-9.94790682526e-05 	0.00751772753834 	 -505.89439877 	-2252733.51161 	8565.48268557 	 537.018775887 	-3801623.28185 	26826.823031 	 -60651.1716905 	34.7956473408 	1774.31314546 	
0.00625 -0.00371693502991 	0.000763798790446 	0.0400910986473 	 0.00488226873773 	-0.00011733536025 	0.00724198952619 	 -137.638529607 	-2212035.66567 	8771.75786366 	 1267.80709158 	-3762340.77835 	26372.8250177 	 -58232.8025844 	45.3394467475 	5047.53683144 	
0.005 -0.0029557039536 	0.000813453522024 	0.0391225623013 	 0.00624758886083 	-0.000129521283756 	0.00687413994097 	 283.651528406 	-2158763.44455 	8996.51488343 	 2513.49049868 	-3729944.11115 	30350.5337749 	 -55304.213053 	70.0339406934 	8432.42461124 	
0.00375 -0.00214660700973 	0.000862742266389 	0.0380038741142 	 0.00771778083205 	-0.000135668465021 	0.00638492259168 	 755.570419799 	-2091973.64874 	9786.84431473 	 4501.09221843 	-3705115.02445 	48524.2065165 	 -51832.2726293 	158.707875534 	12005.1399807 	
0.0025 -0.0016095961752 	0.00089949048304 	0.0367192682145 	 0.00926183517702 	-0.000137338728752 	0.00570837878293 	 1149.8300347 	-2011491.85652 	11598.4686215 	 5758.0498099 	-3685565.47653 	89772.2006686 	 -47676.5913942 	388.872872686 	15415.1096586 	
0.00125 -0.000560875645644 	0.000943763354999 	0.0352563065265 	 0.0112768134933 	-0.000161616521629 	0.00479506163633 	 1708.85499604 	-1916791.7592 	8927.47756015 	 9893.08834687 	-3665753.53051 	78620.7528906 	 -42798.5998749 	364.39039243 	20039.4768944 	
0 0.000928059233858 	0.000982091140737 	0.034077066143 	 0.0137405116483 	-0.000212355152033 	0.00396005075689 	 3009.77428355 	-1809723.67764 	3778.15709083 	 19266.3747322 	-3652474.72445 	32848.7130033 	 -38202.0246776 	137.83849796 	25889.3608976 	
