-0.035 0.00554917529972 	0.00258319737384 	0.0433823513812 	 4.1357057356e-05 	-0.000106622967709 	0.00540261596788 	 -16541.4732358 	87241.4413171 	5181.08606953 	 -263303.472281 	714477.735125 	84484.4892659 	 3794.94202265 	1089.97090549 	-258.212543029 	
-0.03375 0.0055435585917 	0.00260431823639 	0.0422146619485 	 -0.000296213057484 	-0.000446997759998 	0.00443759218147 	 -111678.066459 	89747.7643996 	8451.11065149 	 -529961.636912 	452506.541911 	108324.429606 	 2873.10492426 	3544.02922134 	-200.171555267 	
-0.0325 0.00516175557779 	0.00262223868496 	0.0418469140742 	 -0.000290297420053 	-0.00045841526388 	0.00400071955925 	 -246968.097 	100011.261402 	11968.7942443 	 -1047135.90114 	328009.031902 	124018.78263 	 2686.71638702 	7331.26527167 	-284.802249397 	
-0.03125 0.00480309628912 	0.00263810479966 	0.0415907819147 	 -0.000279985907959 	-0.000470116987682 	0.00402689586855 	 -406326.166461 	114528.081703 	14659.4448269 	 -1570323.80667 	293365.28016 	132317.431074 	 2892.52156799 	11741.0658113 	-395.025662282 	
-0.03 0.00446590059997 	0.00265378173493 	0.0412948520533 	 -0.000267156486641 	-0.000481184036383 	0.00403569049633 	 -553995.815327 	122255.472335 	16733.1928137 	 -1944394.80812 	262650.219129 	135952.420186 	 2960.87417572 	15501.2265907 	-500.175265207 	
-0.02875 0.00415046749076 	0.00266963676541 	0.0410248414391 	 -0.000252098432472 	-0.000490398664828 	0.00411615857228 	 -692557.22673 	123330.545079 	18332.771725 	 -2226429.65924 	229296.609469 	136652.469547 	 2900.54427834 	18956.8279156 	-602.563249357 	
-0.0275 0.00385546733692 	0.00268551143865 	0.0407930367485 	 -0.000235851140172 	-0.000497714378302 	0.00423534429616 	 -825557.040602 	120652.891973 	19491.0252521 	 -2455328.1818 	196610.464093 	135260.053531 	 2774.71698534 	22222.023236 	-705.306325376 	
-0.02625 0.0035793773473 	0.00270122049509 	0.0406042569517 	 -0.000219440680463 	-0.00050311690102 	0.00439512605644 	 -953426.482937 	116156.797689 	20208.2804063 	 -2649148.71507 	167918.993663 	132105.919908 	 2626.5959634 	25378.351749 	-810.701091569 	
-0.025 0.00332033592878 	0.00271664631767 	0.0404494528797 	 -0.000203378942298 	-0.00050695077968 	0.00458034309351 	 -1075817.58491 	110719.757414 	20543.1990727 	 -2815847.49313 	143472.386056 	127648.922005 	 2471.38391139 	28418.8332388 	-918.030453568 	
-0.02375 0.00307668892525 	0.00273169092506 	0.0403235785985 	 -0.00018798497728 	-0.00050953419392 	0.00478292273095 	 -1192134.10378 	104801.781245 	20560.458259 	 -2959801.91411 	122868.289748 	122269.253654 	 2315.59623868 	31335.2007949 	-1026.27379981 	
-0.0225 0.00284696505203 	0.00274627165742 	0.0402217614388 	 -0.000173402667721 	-0.000511160528411 	0.00499397695883 	 -1301955.91028 	98615.3539207 	20314.5755194 	 -3084096.83212 	105416.546954 	116260.356211 	 2160.99885337 	34113.0879931 	-1134.11056431 	
-0.02125 0.00262987090265 	0.00276031832899 	0.0401408917301 	 -0.000159682801555 	-0.000512068828552 	0.00520805511783 	 -1405030.36537 	92303.4396986 	19844.6879796 	 -3191324.91556 	90549.3308623 	109815.545043 	 2008.85924617 	36743.8527385 	-1240.36996065 	
-0.02 0.00242419974966 	0.00277375813434 	0.0400778515971 	 -0.000146832862364 	-0.000512470743584 	0.00541998492711 	 -1501260.65371 	85958.5485226 	19185.9901768 	 -3283742.02334 	77807.9089692 	103080.194379 	 1859.84481445 	39220.6239331 	-1343.95371333 	
-0.01875 0.00222884019879 	0.00278652601232 	0.0400302764403 	 -0.000134781211921 	-0.000512537251241 	0.00562672353654 	 -1590648.70892 	79650.508456 	18372.8770195 	 -3363323.11312 	66841.8651448 	96175.925684 	 1714.63368957 	41540.1901529 	-1443.91478251 	
-0.0175 0.00204276590259 	0.00279857087624 	0.0399955476062 	 -0.0001234415848 	-0.000512398074808 	0.00582517666339 	 -1673269.46284 	73427.3111937 	17437.5730903 	 -3431777.37521 	57370.6014996 	89206.2812695 	 1573.5941916 	43700.0564366 	-1539.45833473 	
-0.01625 0.00186506928221 	0.00280985193454 	0.0399717230116 	 -0.000112702362554 	-0.000512137249369 	0.00601375911804 	 -1749237.17999 	67323.3498921 	16407.427565 	 -3490571.50385 	49170.1606675 	82250.0814417 	 1437.04966565 	45700.1622215 	-1629.95418038 	
-0.015 0.00181570623746 	0.00339057996999 	0.0411617369081 	 0.000138093256694 	0.000458021232492 	0.00799671679861 	 -1765177.25583 	37168.8751134 	10897.0785737 	 -3688357.59994 	36209.773705 	83499.1110335 	 849.15443739 	51217.235901 	-3879.13610545 	
-0.01375 0.00153158833364 	0.00283003066825 	0.0399485865245 	 -9.26834524411e-05 	-0.000511463954316 	0.00635503324302 	 -1881812.12564 	55548.6478077 	14146.736858 	 -3584051.05733 	35860.2728833 	68569.383985 	 1177.69438794 	49222.2352212 	-1793.90164545 	
-0.0125 0.00137429887677 	0.00283889611459 	0.039945928752 	 -8.32458975901e-05 	-0.000511122140185 	0.00650593352041 	 -1938748.80591 	49894.322137 	12950.5283871 	 -3620758.64357 	30458.7592799 	61902.7846739 	 1054.75661404 	50747.1145549 	-1866.6372233 	
-0.01125 0.00122239872384 	0.00284692936505 	0.0399474854661 	 -7.41148822682e-05 	-0.000510804638588 	0.00664313040734 	 -1989674.90789 	44395.359291 	11727.887498 	 -3651889.65287 	25732.014817 	55365.6350336 	 936.076792424 	52117.7091943 	-1932.8733741 	
